iter	Passed	Remaining
455	938	1119
456	943	1120
457	945	1118
458	947	1116
459	948	1114
460	950	1111
461	952	1109
462	954	1107
463	956	1105
464	958	1102
465	960	1100
466	966	1102
467	968	1100
468	970	1098
469	972	1096
470	974	1094
471	975	1091
472	977	1088
473	978	1086
474	980	1083
475	982	1081
476	985	1080
477	989	1080
478	992	1079
479	996	1080
480	999	1078
481	1003	1078
482	1011	1082
483	1026	1094
484	1030	1093
485	1043	1103
486	1046	1102
487	1054	1106
488	1070	1118
489	1074	1118
490	1077	1117
491	1087	1122
492	1090	1120
493	1093	1120
494	1097	1119
495	1100	1118
496	1102	1116
497	1108	1117
498	1111	1115
499	1113	1113
500	1116	1111
501	1118	1109
502	1120	1107
503	1122	1105
504	1125	1102
505	1127	1101
506	1130	1099
507	1135	1100
508	1140	1099
509	1146	1101
510	1148	1099
511	1151	1097
512	1153	1094
513	1155	1092
514	1157	1090
515	1162	1090
516	1164	1088
517	1166	1085
518	1169	1083
519	1171	1081
520	1178	1083
521	1180	1080
522	1181	1078
523	1184	1075
524	1186	1073
525	1189	1071
526	1191	1069
527	1193	1066
528	1200	1069
529	1204	1068
530	1206	1065
531	1208	1063
532	1212	1061
533	1214	1059
534	1217	1057
535	1220	1056
536	1223	1055
537	1226	1053
538	1229	1051
539	1232	1049
540	1233	1046
541	1235	1043
542	1237	1041
543	1238	1038
544	1242	1037
545	1245	1035
546	1246	1032
547	1248	1029
548	1249	1026
549	1251	1023
550	1252	1020
551	1254	1018
552	1255	1015
553	1257	1012
554	1258	1009
555	1260	1006
556	1262	1003
557	1266	1002
558	1268	1000
559	1269	997
560	1271	994
561	1272	992
562	1274	989
563	1275	986
564	1277	983
565	1278	980
566	1280	977
567	1281	974
568	1283	972
569	1285	969
570	1289	968
571	1291	966
572	1292	963
573	1294	960
574	1296	958
575	1298	955
576	1299	952
577	1301	950
578	1303	947
579	1305	945
580	1308	943
581	1310	941
582	1313	939
583	1315	936
584	1316	934
585	1318	931
586	1319	928
587	1321	925
588	1322	923
589	1324	920
